Date,Rate,Country
9/4/2017,101.19,Lao PDR
9/4/2017,99.3,Myanmar
9/4/2017,99.72,Vietnam
9/4/2017,92.57,Thailand
9/5/2017,100.05,Cambodia
9/5/2017,101.28,Lao PDR
9/5/2017,99.93,Myanmar
9/5/2017,99.72,Vietnam
9/5/2017,92.57,Thailand
9/6/2017,100.9,Cambodia
9/6/2017,101.28,Lao PDR
9/6/2017,99.89,Myanmar
9/6/2017,99.7,Vietnam
9/6/2017,92.55,Thailand
9/7/2017,100.97,Cambodia
9/7/2017,101.29,Lao PDR
9/7/2017,100,Myanmar
9/7/2017,99.7,Vietnam
9/7/2017,92.38,Thailand
9/8/2017,100.95,Cambodia
9/8/2017,101.34,Lao PDR
9/8/2017,99.6,Myanmar
9/8/2017,99.71,Vietnam
9/8/2017,92.46,Thailand
9/11/2017,100.1,Cambodia
